G,t,e1,e2,e3,add,e4,trust,advice,survey,patient,male,eng,gt10,uscan,fair,code
6,780.0,12,12,11,FALSE,,7,27,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,a9d1d2c9a575d2c1c6788720b3e590ecbfa4ba3b
6,1076.0,22,11,10,FALSE,,10,100,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,7e85abfd3a36321090fd21e49f7214a8a74ab0c3
6,1010.0,16,9,13,TRUE,12,0,9,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,ec1a1a7c0434af38c7bed076daebecd25738b94a
6,2164.0,13,73,17,TRUE,66,10,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,7cc629bc777ebe5b30a516aeb43799bc2b978786
6,846.0,12,9,9,TRUE,11,15,199,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,26f8b0ecace2f3d6140baffe376a474cae25cc54
6,1512.0,11,9,9,FALSE,,12,463,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,taskcompleted
6,1382.0,13,9,9,TRUE,10,15,111,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,cf7c1218008b97929bafc6feb57e89b02af45b2f
6,972.0,171,667,588,,,,0,,,,,,,,
6,3223.0,85,10,62,TRUE,11,0,242,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,239ed6eaeec7d62e0f118156e634cc4b106dea2f
6,1092.0,24,27,588,,,,0,,,,,,,,
6,219.0,16,667,588,,,,0,,,,,,,,
6,1555.0,83,9,9,FALSE,,15,30,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,1613b4ce2bfbb8f85dff6dd07732d179a784b5ff
6,1532.0,14,11,12,TRUE,12,0,11,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,9c44bb82fd165380946cebccc1f97b32350fd0f5
6,760.0,79,15,19,FALSE,,0,35,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,2489e6c79c53562c7bc45b2071abee20aa8027d5
6,835.0,23,10,12,TRUE,11,5,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,857455f7ec98e4c08ee4000b5aa303282c4fbf87
6,2174.0,11,667,588,FALSE,,5,76,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,aab5fa5d705fb7184808c08a4bd27024626a43d8
6,470.0,14,667,588,FALSE,,5,74,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,339c0111bc42ee829e37281d7c2ed67c69eb50ef
7,896.0,19,70,11,TRUE,16,5,70,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,7cadbb35ddc47e51c5c464dbc6cc4e26ada8034e
7,1109.0,15,13,11,TRUE,11,8,213,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,fa11be14259b28f50af113e844046d36c023b359
7,1065.0,55,17,9,,,10,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,BCW167349
7,981.0,13,14,19,TRUE,15,12,134,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,561e74aa83d9f217d12bf865714204a8b5b3f5f2
7,1228.0,14,10,9,TRUE,11,15,105,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,f5c45144ee7e9a5f5afe28a4c5b03a3388b55cc5
7,1221.0,13,14,14,TRUE,11,7,157,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,82ba72ddb54ec8a10bc30686514530ebfe31339a
7,2109.0,17,19,11,TRUE,16,8,90,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,1f7f8ae69df91bcbe5a398f05b45120fbec5fbe6
7,2700.0,14,14,12,TRUE,12,5,48,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,6fc9601978072e39cb7984899b6f47f5c48cf73e
7,1095.0,11,67,73,TRUE,11,5,123,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,7390df6cf77c93af9519fca26cdf17d5ce09aa30
7,2233.0,12,9,14,TRUE,10,10,41,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,a12a56f660ef7e94e4952ad825351f77fca86b8d
7,1942.0,25,13,18,TRUE,80,15,11,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,dcb75dac4af7fd54ab15946dc97d60058522e45b
7,1003.0,19,15,14,TRUE,15,7,26,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,eab19d252942c61b42ae462d7002d80e8924eda3
7,1235.0,11,53,12,TRUE,14,6,127,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,2a0cbfd25669b111558c7c96f6973d5ccc7e7f96
